,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
14381,Sep,1,Saturday,Mazda,Urban,Thursday,Sep,2,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,14382,14,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
3373,Jul,1,Thursday,Mazda,Urban,Wednesday,Jul,3,Male,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3374,13,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
13981,Feb,4,Monday,Mazda,Urban,Wednesday,Mar,1,Male,Single,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,13982,5,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1996,Collision
9937,Oct,4,Monday,Toyota,Urban,Monday,Oct,4,Male,Married,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9938,1,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
14405,Sep,1,Monday,Pontiac,Urban,Wednesday,Sep,2,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,14406,4,400,3,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision
10850,Mar,3,Thursday,Chevrolet,Rural,Monday,Mar,3,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,10851,14,700,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
11110,May,1,Thursday,Mazda,Urban,Friday,May,1,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11111,6,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Collision
2176,Nov,1,Friday,Ford,Urban,Thursday,Nov,2,Male,Married,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2177,1,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Liability
960,Jan,5,Monday,Toyota,Urban,Tuesday,Feb,1,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,961,7,400,3,1 to 7,8 to 15,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
10402,Jan,4,Monday,Toyota,Urban,Thursday,Jan,4,Male,Married,49,Third Party,Sedan - All Perils,Sedan,less than 20000,0,10403,3,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils
15189,Jun,1,Wednesday,Mazda,Urban,Thursday,Jun,1,Male,Married,70,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,15190,15,400,2,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1996,Collision
6288,Aug,3,Friday,Honda,Urban,Thursday,Aug,4,Male,Single,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6289,10,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
11978,May,4,Friday,Pontiac,Urban,Monday,Jun,1,Male,Married,53,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11979,11,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability
4646,Apr,2,Monday,Pontiac,Urban,Monday,Apr,2,Female,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4647,6,400,2,more than 30,more than 30,1,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Collision
13521,Sep,4,Monday,Chevrolet,Urban,Tuesday,Sep,4,Male,Married,34,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,13522,9,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
14720,Sep,1,Friday,Saab,Urban,Monday,Sep,1,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14721,1,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision
7768,May,1,Tuesday,Toyota,Urban,Wednesday,May,1,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,7769,15,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
4899,Jan,2,Wednesday,Toyota,Urban,Wednesday,Jan,2,Male,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4900,4,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
3555,May,2,Tuesday,Toyota,Urban,Tuesday,May,3,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,3556,5,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
7622,May,1,Wednesday,Toyota,Urban,Friday,May,1,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,7623,9,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
7947,May,3,Wednesday,Chevrolet,Urban,Thursday,May,3,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7948,14,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
11868,May,3,Sunday,Chevrolet,Urban,Friday,May,3,Male,Single,28,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,11869,12,400,1,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
14497,Apr,2,Monday,Chevrolet,Urban,Monday,Apr,2,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14498,11,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision
5738,Dec,3,Wednesday,Toyota,Urban,Friday,Jan,5,Male,Single,30,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5739,8,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
4176,May,5,Sunday,Honda,Urban,Monday,May,5,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4177,4,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
10088,Feb,2,Monday,Mazda,Urban,Wednesday,Mar,1,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,10089,11,400,2,more than 30,more than 30,more than 4,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision
7096,Jan,2,Monday,Toyota,Urban,Monday,Feb,4,Male,Single,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7097,14,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
4446,Mar,4,Friday,Pontiac,Urban,Wednesday,Mar,5,Male,Married,56,Policy Holder,Utility - All Perils,Utility,more than 69000,0,4447,15,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
2035,Apr,2,Tuesday,Mazda,Urban,Monday,Apr,3,Male,Single,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2036,10,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
13548,Jul,1,Friday,Mazda,Urban,Monday,Jul,1,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13549,6,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
1199,Feb,2,Friday,Pontiac,Rural,Friday,Feb,3,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,1200,12,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
1178,Aug,2,Tuesday,Honda,Urban,Thursday,Aug,2,Female,Single,16,Third Party,Sport - Collision,Sport,more than 69000,0,1179,3,400,3,more than 30,more than 30,none,3 years,18 to 20,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
1851,Jan,1,Friday,Honda,Urban,Monday,Jan,2,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1852,11,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
2842,Feb,3,Wednesday,Pontiac,Urban,Wednesday,Mar,1,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2843,9,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
5241,Feb,4,Sunday,Chevrolet,Urban,Monday,Feb,5,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,60000 to 69000,0,5242,5,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
11196,Nov,2,Tuesday,Mazda,Urban,Tuesday,Nov,3,Male,Married,43,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11197,16,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
13817,Jun,4,Wednesday,Honda,Urban,Saturday,Jul,1,Female,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13818,9,400,2,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,3 to 4,1996,Collision
1525,Sep,4,Thursday,Pontiac,Urban,Friday,Sep,4,Male,Married,51,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1526,13,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1389,May,2,Friday,Mazda,Urban,Sunday,May,3,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1390,4,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
5994,Nov,3,Monday,Chevrolet,Rural,Wednesday,Nov,4,Male,Single,25,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5995,14,400,1,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability
10223,Feb,3,Monday,Pontiac,Rural,Tuesday,Feb,4,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,10224,12,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
2298,May,4,Saturday,Saab,Urban,Wednesday,Jul,3,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,2299,16,400,3,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
6486,Dec,4,Saturday,Dodge,Urban,Tuesday,Dec,4,Female,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,6487,11,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
7121,Jan,1,Wednesday,Ford,Urban,Thursday,Jan,3,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,7122,1,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
7724,Nov,4,Sunday,Accura,Urban,Tuesday,Nov,5,Male,Married,37,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,7725,7,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
2844,Jan,1,Friday,Toyota,Urban,Wednesday,Feb,1,Male,Married,29,Third Party,Sedan - Liability,Sport,20000 to 29000,0,2845,12,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
1783,Jan,3,Wednesday,Mazda,Urban,Friday,Jan,5,Male,Married,50,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,1784,10,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
9510,Sep,5,Saturday,Toyota,Urban,Monday,Oct,1,Male,Single,29,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9511,6,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
11810,Apr,4,Tuesday,Pontiac,Urban,Wednesday,Apr,4,Male,Married,53,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11811,16,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
2091,Mar,3,Thursday,Pontiac,Urban,Friday,Mar,3,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2092,13,500,2,more than 30,more than 30,none,7 years,36 to 40,No,No,Internal,more than 5,2 to 3 years,3 to 4,1994,Liability
11418,Nov,5,Monday,Pontiac,Urban,Monday,Dec,1,Female,Single,34,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,11419,2,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
7307,Jun,4,Saturday,Toyota,Urban,Monday,Jul,2,Male,Single,18,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,7308,1,400,4,more than 30,more than 30,none,3 years,21 to 25,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
2959,Apr,3,Sunday,Pontiac,Urban,Thursday,May,3,Female,Married,63,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2960,16,400,4,more than 30,more than 30,none,5 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
11370,Apr,5,Friday,Mazda,Urban,Monday,May,1,Male,Married,52,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11371,5,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision
6008,Aug,2,Saturday,Honda,Urban,Wednesday,Aug,3,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,6009,13,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
13775,Jan,2,Friday,Honda,Urban,Friday,Jan,4,Male,Single,39,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,13776,14,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
7887,Dec,3,Friday,Toyota,Urban,Friday,Dec,3,Male,Single,22,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,7888,11,400,2,more than 30,more than 30,1,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,Collision
1932,Jan,4,Tuesday,Ford,Urban,Wednesday,Jan,4,Male,Married,35,Third Party,Sedan - Liability,Sport,40000 to 59000,0,1933,15,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
3234,Sep,1,Tuesday,Ford,Urban,Tuesday,Sep,1,Male,Married,67,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3235,9,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision
1307,Jun,3,Thursday,Pontiac,Rural,Friday,Jun,3,Male,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1308,4,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
15162,Jun,5,Wednesday,Toyota,Urban,Wednesday,Jun,5,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,15163,4,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1996,Collision
14467,Dec,3,Thursday,Honda,Urban,Monday,Dec,3,Male,Married,45,Third Party,Sport - Collision,Sport,more than 69000,0,14468,14,400,4,more than 30,more than 30,1,more than 7,36 to 40,Yes,No,External,none,no change,1 vehicle,1996,Collision
433,Jun,3,Sunday,Toyota,Rural,Wednesday,Jul,2,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,434,2,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
7088,Feb,2,Tuesday,Accura,Urban,Tuesday,Feb,4,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,7089,3,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
794,Sep,4,Sunday,Mazda,Urban,Thursday,Sep,5,Female,Married,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,795,1,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
6091,Oct,1,Wednesday,Mazda,Urban,Thursday,Oct,2,Male,Married,49,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,6092,7,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
664,Dec,2,Wednesday,Mazda,Urban,Tuesday,Dec,3,Female,Married,47,Third Party,Sedan - Collision,Sedan,more than 69000,0,665,15,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
5869,Sep,5,Thursday,Pontiac,Urban,Monday,Oct,1,Male,Single,40,Third Party,Sedan - All Perils,Sedan,less than 20000,0,5870,3,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
4361,Oct,2,Tuesday,Toyota,Urban,Monday,Oct,3,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4362,3,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
10023,Oct,1,Saturday,Toyota,Urban,Thursday,Oct,1,Male,Married,54,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,10024,12,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability
11096,Dec,1,Friday,Honda,Urban,Tuesday,Dec,2,Female,Single,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11097,9,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
6797,Jan,4,Monday,VW,Urban,Monday,Jan,4,Male,Married,43,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,6798,8,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
4504,Dec,3,Sunday,Mazda,Urban,Monday,Dec,3,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4505,15,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
12239,Feb,1,Thursday,Chevrolet,Urban,Tuesday,Feb,3,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12240,2,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
1332,May,1,Friday,Mazda,Urban,Monday,May,2,Female,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1333,12,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
537,Feb,3,Monday,Saab,Urban,Monday,Feb,3,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,538,13,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
8184,Sep,2,Friday,Honda,Urban,Wednesday,Sep,2,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8185,9,700,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
12725,Jun,3,Friday,Toyota,Urban,Friday,Jul,1,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,12726,6,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
2982,Dec,1,Tuesday,Honda,Urban,Friday,Dec,4,Male,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2983,9,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils
9557,Jan,4,Monday,Honda,Urban,Tuesday,Jan,4,Male,Married,51,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9558,6,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils
13057,Nov,1,Thursday,Mazda,Urban,Tuesday,Nov,3,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13058,8,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision
14627,Jun,4,Tuesday,Pontiac,Urban,Thursday,Jun,5,Male,Married,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14628,6,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
3281,Oct,2,Monday,Mazda,Rural,Tuesday,Oct,2,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3282,12,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
5721,Aug,3,Monday,Mazda,Urban,Tuesday,Aug,3,Male,Married,28,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,5722,12,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
10750,Jun,3,Monday,Mazda,Urban,Wednesday,Jul,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10751,1,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
11100,Oct,2,Sunday,Toyota,Urban,Monday,Oct,2,Male,Married,43,Third Party,Sedan - Liability,Sport,20000 to 29000,0,11101,6,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
11522,Apr,2,Thursday,Ford,Urban,Tuesday,Apr,3,Male,Married,50,Third Party,Sedan - All Perils,Sedan,40000 to 59000,0,11523,1,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
14606,Mar,5,Friday,Toyota,Urban,Wednesday,Apr,1,Male,Married,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,14607,7,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
1255,Dec,1,Saturday,Chevrolet,Urban,Wednesday,Dec,2,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1256,10,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
7475,Mar,5,Monday,Toyota,Urban,Friday,Apr,1,Female,Single,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,7476,10,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
3078,Apr,4,Saturday,Toyota,Urban,Friday,May,1,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,3079,2,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
13029,Apr,2,Sunday,Honda,Urban,Wednesday,Apr,2,Male,Married,33,Third Party,Sedan - All Perils,Sedan,less than 20000,0,13030,9,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils
3887,Jun,2,Friday,Pontiac,Urban,Friday,Jun,2,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3888,5,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
7804,Nov,2,Monday,Toyota,Urban,Monday,Nov,2,Male,Married,33,Third Party,Sedan - All Perils,Sedan,more than 69000,0,7805,15,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
14478,Jun,2,Tuesday,Honda,Urban,Thursday,Jun,2,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,14479,2,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,Liability
6818,Feb,4,Monday,Toyota,Rural,Monday,Feb,4,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,6819,10,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
9062,Apr,2,Friday,Toyota,Urban,Monday,Apr,2,Male,Married,42,Third Party,Sedan - Collision,Sedan,less than 20000,0,9063,5,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
5937,Feb,1,Monday,Honda,Urban,Thursday,Jul,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5938,5,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
8976,Jan,5,Monday,Chevrolet,Urban,Wednesday,Feb,1,Male,Married,63,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8977,6,500,2,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,2 to 3 years,1 vehicle,1995,Liability
3621,Mar,3,Saturday,Toyota,Urban,Friday,Mar,4,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3622,1,500,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,2 to 3 years,1 vehicle,1994,Collision
11351,Aug,3,Friday,Toyota,Urban,Friday,Aug,3,Male,Married,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11352,7,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability
8988,Mar,3,Sunday,Mazda,Urban,Wednesday,Mar,4,Male,Married,47,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8989,16,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,1995,All Perils
8736,Jan,1,Monday,Pontiac,Urban,Monday,Jan,4,Male,Single,35,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,8737,9,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,1 year,2 vehicles,1995,All Perils
10651,May,1,Sunday,Chevrolet,Rural,Tuesday,May,1,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,10652,11,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,more than 5,no change,1 vehicle,1995,All Perils
